State,County,Max AQI,90th Percentile AQI,Median AQI
West Virginia,Kanawha,67,55,37
West Virginia,Marshall,81,59,39
West Virginia,Monongalia,71,53,42
West Virginia,Ohio,84,58,42
West Virginia,Tucker,71,49,41
West Virginia,Wood,100,58,42
Wisconsin,Ashland,90,44,36
Wisconsin,Brown,86,60,38
Wisconsin,Dane,77,58,42
Wisconsin,Dodge,84,53,39
Wisconsin,Eau Claire,142,55,40
Wisconsin,Forest,153,52,39
Wisconsin,Grant,80,54,31
Wisconsin,Jackson,95,49,26
Wisconsin,Kenosha,143,64,41
Wisconsin,Marathon,151,53,38
Wisconsin,Milwaukee,129,64,42
Wisconsin,Monroe,90,54,27
Wisconsin,Outagamie,99,58,38
Wisconsin,Ozaukee,119,61,39
Wisconsin,Sauk,66,53,38
Wisconsin,Taylor,80,45,37
Wisconsin,Waukesha,100,61,41
Wyoming,Albany,187,87,51
Wyoming,Big Horn,84,49,39
Wyoming,Campbell,103,61,43
Wyoming,Carbon,35,16,8
Wyoming,Converse,76,49,41
Wyoming,Fremont,100,67,48
Wyoming,Johnson,71,47,39
Wyoming,Laramie,80,58,45
Wyoming,Lincoln,77,54,44
Wyoming,Natrona,80,54,43
Wyoming,Park,88,43,13
Wyoming,Platte,161,45,14
Wyoming,Sheridan,205,61,43
Wyoming,Sublette,101,74,47
Wyoming,Sweetwater,137,64,45
Wyoming,Teton,105,67,47
Wyoming,Uinta,22,13,6
Wyoming,Washakie,71,47,9
Wyoming,Weston,71,47,39
